album_id,album_name,album_release_date
1,Врубай,2024-11-28
2,Кульбаби,2022-12-09
3,Cassette,2021-12-13
4,Hurry Up Tomorrow,2025-01-31
5,ParisLove,2024-11-08
6,Силуети,2022-10-28
7,glory of heartbroken,2024-08-23
8,Не лякай,2024-09-06
9,Забий,2024-02-16
10,Die With A Smile,2024-08-16
11,Нагадай,2023-12-16
12,rosie,2024-12-06
13,Good Girl Gone Bad: Reloaded,2008-06-02
14,Рана,2024-07-03
15,Cristoforo Colombo,2023-11-03
16,AFTERCARE,2024-11-15
17,Їде дах,2024-08-13
18,lyin n' dyin,2025-01-31
19,Bieber Fever Tour Life,2024-12-06
20,S.A.M.O.,2025-01-17
21,DEBARAS,2025-01-29
22,Impostor syndrom,2024-11-08
23,Painkillers,2024-11-22
24,VOJNA,2024-06-07
25,Y0L0.5,2025-01-24
26,Sailor Song,2024-07-26
27,HIT ME HARD AND SOFT,2024-05-17
28,The Secret of Us (Deluxe),2024-10-18
29,FLOWDEMORT,2023-03-31
30,Skriker mitt namn,2025-01-17
31,Längesen,2024-12-25
32,Somna med Humlan Djojj,2020-10-30
33,Lucky Luciano,2025-01-17
34,Lost and found,2024-09-20
35,I've Tried Everything But Therapy (Part 2),2025-01-24
36,Upp och ner och hit och dit med Babblarna,2023-09-01
37,This Wasn't Meant For You Anyway,2024-06-21
38,QURBANI (KOM TBX),2025-01-10
39,Lost Tapes,2025-01-11
40,Hush Hush,2025-01-31
41,I've Tried Everything But Therapy (Part 1),2023-09-15
42,Mi Vida,2025-01-30
43,"Where I've Been, Isn't Where I'm Going",2024-05-31
44,Vino să te f,2024-12-14
45,Anglia,2024-11-01
46,MUSE,2024-07-19
47,Mercedes,2024-08-09
48,Meneaito,2024-12-13
49,ANGELINA JOLIE,2025-01-21
50,Baklava,2024-04-15
51,Jenifer buci de fier,2023-03-25
52,Vreau,2024-10-18
53,NUMAI FEMEI,2022-06-26
4,Hurry Up Tomorrow,2025-01-30
54,REGINA,2024-04-12
55,"A venit poliția (From ""Candidatul perfect"" The Movie)",2024-10-11
56,"Yali, Yali",2024-08-14
57,Rusia,2024-12-03
58,Oh Garota Eu Quero Você Só Pra Mim,2024-12-17
59,DeBÍ TiRAR MáS FOToS,2025-01-05
60,Carta de Alforria,2024-11-08
61,Resenha do Arrocha,2024-11-29
62,Fui Mlk,2024-11-22
63,Penélope Charmosa 2,2024-09-27
64,Do Job,2024-11-11
65,Barbie,2024-10-18
66,FIM DO NADA,2025-01-31
67,Si Antes Te Hubiera Conocido,2024-06-21
68,FANTASMA (versão GORDÃO DO PC),2024-12-11
69,Mixtape Supernova Vol.1,2024-12-12
70,intro + up! up! up!,2025-01-20
71,Muzyka Komercyjna (Deluxe),2022-12-23
72,KOCHASZ?,2024-12-26
73,TTHE GRIND,2024-04-04
74,TTHE GRIND (DELUXE),2025-01-30
75,Lloret de Mar,2024-09-16
76,Wynalazek Filipa Golarza,2024-11-07
77,Popularne,2021-08-12
78,CZEMU NIE ŚPISZ?,2024-10-10
79,Kaprysy,2024-06-13
