spotify_id,name,is_explicit,artists,album_id
05vZtu5obzMiZdreJK7HH3,Врубай,False,Parfeniuk,1
7CuxOoQMEaiSXIGwJJkQHW,Кульбаби,False,Тоня Матвієнко,2
4MQmxIxM5CXKjdq4IrCWhd,Касета,False,SadSvit,3
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),True,"The Weeknd, Anitta",4
6zECxDYlNtEybq8hZ9Tp12,ParisLove,True,FORTUNA 812,5
61BaxM1NIcadLu3gtWm2uT,Силуети,False,"SadSvit, СТРУКТУРА ЩАСТЯ",6
3nNKws5aNnTa3tgQOIS5Sk,гладиатор/рыцарь,True,fallen777angel,7
1ZbtwhtxORZcaSh5VKjeXJ,Не лякай,False,"OSTY, Klavdia Petrivna",8
23cpg22rXsND2u3ElYxQdj,Забий,False,"Wellboy, Parfeniuk",9
2plbrEY59IikOBgBGLjaoe,Die With A Smile,False,"Lady Gaga, Bruno Mars",10
2k1bI9pRGnUQZWhr3NmJBx,Нагадай,False,Domiy,11
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),True,"The Weeknd, Playboi Carti",4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,False,"ROSÉ, Bruno Mars",12
46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,False,Rihanna,13
0wpkj8A7T1CjIul0XQtkqK,Молодість,False,SadSvit,3
4GNVBarJ82ABAYZyPYwinT,Рана,False,CHEEV,14
11gTRcdz4wK32fghA2vrX7,Lost Angeles,True,FRIENDLY THUG 52 NGG,15
0IVAYMUDvpzFxIEuGc71SM,P*RNSTAR,True,Nessa Barrett,16
7bBZdL9ZTDKbNN7J1Alla4,Їде дах,False,"Klavdia Petrivna, Маша Кондратенко",17
7MJvYs3R3caNUilA5A8h7r,lyin n' dyin,True,zxcursed,18
5LG6E6hwx6u84X7hMVkpKp,Pistácie (feat. Sofian Medjmedj),True,"Calin, Sofian Medjmedj",19
1Qzgt6gOMrwhMlmiBl3jbc,Na Očiach Vyryté,False,"Saul, Viktor Sheen",20
2SdeE22RomGIWq3xZwk7aF,CELOU NOC 2,True,"Nik Tendo, AstralKid22, Shimmi",21
2UD4l3evthKlDOM6HSrc9N,Cígo a káva (feat. Saul),True,"Viktor Sheen, Saul",22
3QCRSIRZyCM2JjR4DTiwzF,Painkillers,True,"Yzomandias, P T K, Luca Brassi10x, Le Winter",23
3AWDeHLc88XogCaCnZQLVI,Cry For Me,True,The Weeknd,4
6gj6FXx7jZXOOdLX4aNaSK,Syndrom,False,Viktor Sheen,22
1P8o6bOTyh1kEqe72JFzzO,NENI STRE$S,True,"Pil C, Luca Brassi10x, Separ",24
4oLJGn19J4OWAPC7fV5b5E,Vítej mezi náma (feat. STEIN27),True,"Calin, STEIN27",19
37B0CIBlKGtGrLp6PwtuL1,AQUA,True,Shimmi,25
2262bWmqomIaJXwCRHr13j,Sailor Song,False,Gigi Perez,26
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,False,Billie Eilish,27
7ne4VBA60CxGM75vw0EYad,That’s So True,True,Gracie Abrams,28
4vUqYLKsvAxlrvd9TEmtbw,Pre Dni,False,Saul,20
4WXX611x1aCtwcqVJgA3xb,Sunset,True,"Separ, Jerry Lee, P T K",29
4H6CSIMn1ZogPvVvO4MR8u,Carmen,False,"Saul, SIMILIVINLIFE",20
3jGTLWpILJexFMVibAjij9,Skriker mitt namn,False,Victor Leksell,30
40yRQySDfSc5I6SoZzRLxZ,Längesen,False,Bolaget,31
