spotify_id,danceability,energy,loudness
05vZtu5obzMiZdreJK7HH3,0.871,0.628,-4.952
7CuxOoQMEaiSXIGwJJkQHW,0.832,0.668,-5.033
4MQmxIxM5CXKjdq4IrCWhd,0.654,0.743,-7.189
7DY756WOLyOz2Xnhw4EFiC,0.538,0.658,-7.273
6zECxDYlNtEybq8hZ9Tp12,0.614,0.622,-6.989
61BaxM1NIcadLu3gtWm2uT,0.527,0.861,-6.73
3nNKws5aNnTa3tgQOIS5Sk,0.546,0.534,-7.28
1ZbtwhtxORZcaSh5VKjeXJ,0.613,0.597,-5.527
23cpg22rXsND2u3ElYxQdj,0.649,0.711,-6.786
2plbrEY59IikOBgBGLjaoe,0.521,0.592,-7.777
2k1bI9pRGnUQZWhr3NmJBx,0.777,0.531,-7.445
0FIDCNYYjNvPVimz5icugS,0.768,0.775,-5.06
4wJ5Qq0jBN4ajy7ouZIV1c,0.777,0.783,-4.477
46aZJc0z1HHHSFxaIRxYSP,0.801,0.674,-4.185
0wpkj8A7T1CjIul0XQtkqK,0.553,0.833,-6.361
4GNVBarJ82ABAYZyPYwinT,0.654,0.708,-5.912
11gTRcdz4wK32fghA2vrX7,0.788,0.544,-9.738
0IVAYMUDvpzFxIEuGc71SM,0.588,0.819,-5.417
7bBZdL9ZTDKbNN7J1Alla4,0.787,0.769,-5.905
7MJvYs3R3caNUilA5A8h7r,0.492,0.798,-3.908
5LG6E6hwx6u84X7hMVkpKp,0.565,0.487,-10.099
1Qzgt6gOMrwhMlmiBl3jbc,0.714,0.697,-5.817
2SdeE22RomGIWq3xZwk7aF,0.655,0.65,-8.151
2UD4l3evthKlDOM6HSrc9N,0.752,0.685,-5.798
3QCRSIRZyCM2JjR4DTiwzF,0.779,0.807,-6.051
3AWDeHLc88XogCaCnZQLVI,0.647,0.645,-6.425
6gj6FXx7jZXOOdLX4aNaSK,0.826,0.711,-5.649
1P8o6bOTyh1kEqe72JFzzO,0.842,0.758,-7.584
4oLJGn19J4OWAPC7fV5b5E,0.458,0.879,-5.973
37B0CIBlKGtGrLp6PwtuL1,0.69,0.52,-7.536
2262bWmqomIaJXwCRHr13j,0.494,0.413,-10.432
6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,-10.171
7ne4VBA60CxGM75vw0EYad,0.554,0.808,-4.169
4vUqYLKsvAxlrvd9TEmtbw,0.572,0.581,-8.224
4WXX611x1aCtwcqVJgA3xb,0.762,0.805,-6.63
4H6CSIMn1ZogPvVvO4MR8u,0.477,0.597,-5.653
3jGTLWpILJexFMVibAjij9,0.704,0.658,-7.671
40yRQySDfSc5I6SoZzRLxZ,0.45,0.706,-6.468
0j2JcSeuF8ElJTrC8g6493,0.684,0.0326,-17.898
1QdmWPC8ZshfEOKJHxFGW1,0.845,0.5,-9.828
5GdAGqF9ZI4gADtpVAxqe7,0.795,0.191,-10.622
3BntzKsnLf2pc0dsvE3Zav,0.707,0.68,-6.203
3GygspQIcYy5OnRiw245Qh,0.299,0.234,-13.009
35ISBknsCeZQtq66xABI9g,0.798,0.562,-5.913
1Xa3BK62uD9mzrzU0S6UMz,0.736,0.726,-6.965
7BuyYUuSiAsh5mi4JPRjC6,0.754,0.756,-8.95
3kzhtJH4jrnKQmuE8ai8ob,0.649,0.924,-4.362
17phhZDn6oGtzMe56NuWvj,0.561,0.604,-4.409
2lJlGAKUNG1HZ9h382qIs0,0.434,0.683,-6.513
5fZJQrFKWQLb7FpJXZ1g7K,0.722,0.706,-4.857
2AKfAnct7MFEglIueZ7ROM,0.8,0.729,-5.232
5sFEhVXljNz3VPW404UHey,0.805,0.843,-5.145
7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,-3.743
7CzIPuAZjl1K8wYPOOzHyL,0.815,0.865,-4.194
4Cy1wIbi2TGoiCBXE9qBID,0.843,0.633,-9.798
14NwdA5jpFrLI4LCs2GBtp,0.48,0.518,-5.821
5jDcoEETEDGuFlKhPm6eIq,0.736,0.796,-2.489
40GLYWLoMFhkuoDImEwHm4,0.767,0.809,-5.591
6fi9kxR0M6S2chzb2O4YIy,0.748,0.785,-6.817
3yLZ0xg3XoEwnl773q9Ymc,0.735,0.928,-3.802
0bxRSMz5WY1VuMmOhanE4b,0.564,0.513,-7.596
0stJVUUSrbEwyFHOp2dRu0,0.658,0.753,-5.939
5yGAxh5wM6di5gmlD79jDY,0.771,0.652,-6.218
4ltU2MHw7l9Mbr7NhbNjLV,0.81,0.803,-5.587
4TLyVQPY9Kuwh9ptK9NZBn,0.803,0.763,-4.327
3pFcK6taoEkjfirkJWaTv7,0.777,0.882,-5.247
0BUkQGUXgcvf3gdCWYbtnJ,0.905,0.861,-2.313
3sK8wGT43QFpWrvNQsrQya,0.625,0.131,-27.405
5lGXgWvY60L80gKGk5Clgc,0.676,0.621,-7.055
0NQyryTVbjGMtWMA1eSqIn,0.814,0.727,-2.841
4pOGEJRVOuaa9oyy7qTGf6,0.635,0.636,-3.72
6VH6SBNNL2RVWwImq046ce,0.839,0.64,-5.842
5TFD2bmFKGhoCRbX61nXY5,0.142,0.195,-20.024
3TnSAp3TfGMYptOqv234uK,0.924,0.379,-12.101
6s1kzj4EbhFLXbuAGJbhbn,0.955,0.425,-8.242
2lTm559tuIvatlT1u0JYG2,0.168,0.00332,-46.113
1kJml4AvYDxIMcJVt7nYlL,0.791,0.743,-5.043
6WatFBLVB0x077xWeoVc2k,0.924,0.668,-6.795
6x6EA3N9xXgptSakS7VZUg,0.601,0.831,-1.794
5Bp7TFENcgsdLCL8fMOSKs,0.645,0.543,-6.967
1PlysCdOuMYvE8imkyvHLx,0.66,0.576,-10.613
3fsukGRaCYqfoQ010VQGcC,0.47,0.637,-8.33
1d718gwJbujwNO9x9BzNfc,0.616,0.741,-7.095
39PDJqBMIsXLdwh0Wr9eDy,0.505,0.704,-6.408
4laCtGHEZEupZ7uEDQH2Ae,0.522,0.762,-6.42
4S78rQHd6cSC8g2TfdNJTf,0.773,0.744,-6.478
2PrnvpGByWnjgt5jEk7XqG,0.534,0.393,-8.708
493ORSeExHylEYu7tolox9,0.755,0.634,-8.904
4lJ88RKrUiW4UP1IAu3Dhj,0.735,0.74,-8.854
3IQN4rjqZlmJgO4exMkaNT,0.616,0.585,-7.602
1ZIscVoYHftgA5STle5cPo,0.792,0.667,-7.165
2FAZskT9yRjp2Oow9szJD8,0.62,0.843,-5.321
0GssNPAI7NSbi1aaThO3EX,0.619,0.921,-3.19
5t4O0SahpSw7pavJBwGEC5,0.618,0.862,-6.346
3ULg1vFh05UW6TPSnsgGpy,0.698,0.785,-5.232
7px3lmdf4nzNEMt6zaQ5yJ,0.65,0.734,-6.332
